site,informant,management,potential_rank
Atala Kamusio,ATA2,"Selection, propagation, processing and marketing",10
Atala Kamusio,ATA3,"Selection, propagation, processing and marketing",10
Atala Kamusio,ATA4,"Selection, propagation, processing and marketing",10
Atala Kamusio,ATA5,"Selection, propagation, processing and marketing",8
Atala Kamusio,ATA6,"Selection, propagation, processing and marketing",11
Atala Kamusio,ATA7,"Selection, propagation, processing and marketing",11
Atala Kamusio,ATA8,"Selection, propagation, processing and marketing",9
Atala Kamusio,ATA9,"Selection, propagation, processing and marketing",11
Atala Kamusio,ATA10,"Selection, propagation, processing and marketing",10
Atala Kamusio,ATA11,"Selection, propagation, processing and marketing",8
Atala Kamusio,ATA12,"Selection, propagation, processing and marketing",11
Atala Kamusio,ATA13,"Selection, propagation, processing and marketing",8
Atala Kamusio,ATA14,"Selection, propagation, processing and marketing",10
Atala Kamusio,ATA1,Mitigate climate change,10
Atala Kamusio,ATA2,Mitigate climate change,9
Atala Kamusio,ATA3,Mitigate climate change,10
Atala Kamusio,ATA4,Mitigate climate change,9
Atala Kamusio,ATA5,Mitigate climate change,11
Atala Kamusio,ATA6,Mitigate climate change,10
Atala Kamusio,ATA7,Mitigate climate change,10
Atala Kamusio,ATA8,Mitigate climate change,9
Atala Kamusio,ATA9,Mitigate climate change,11
Atala Kamusio,ATA10,Mitigate climate change,10
Atala Kamusio,ATA11,Mitigate climate change,10
Atala Kamusio,ATA12,Mitigate climate change,9
Atala Kamusio,ATA13,Mitigate climate change,11
Atala Kamusio,ATA14,Mitigate climate change,9
Atala Kamusio,ATA1,Others,4
Atala Kamusio,ATA2,Others,4
Atala Kamusio,ATA3,Others,2
Atala Kamusio,ATA4,Others,2
Atala Kamusio,ATA5,Others,3
Atala Kamusio,ATA6,Others,2
Atala Kamusio,ATA7,Others,4
Atala Kamusio,ATA8,Others,4
Atala Kamusio,ATA9,Others,3
Atala Kamusio,ATA10,Others,3
Atala Kamusio,ATA11,Others,1
Atala Kamusio,ATA12,Others,2
Atala Kamusio,ATA13,Others,3
Atala Kamusio,ATA14,Others,1
Lopur,LOP1,Monitor and inventor,4
Lopur,LOP2,Monitor and inventor,2
Lopur,LOP3,Monitor and inventor,4
Lopur,LOP4,Monitor and inventor,4
Lopur,LOP5,Monitor and inventor,1
Lopur,LOP6,Monitor and inventor,4
Lopur,LOP7,Monitor and inventor,1
Lopur,LOP8,Monitor and inventor,3
Lopur,LOP9,Monitor and inventor,4
Lopur,LOP10,Monitor and inventor,3
Lopur,LOP11,Monitor and inventor,3
Lopur,LOP12,Monitor and inventor,3
Lopur,LOP13,Monitor and inventor,3
Lopur,LOP14,Monitor and inventor,4
Lopur,LOP1,Establish protected areas,8
Lopur,LOP2,Establish protected areas,4
Lopur,LOP3,Establish protected areas,7
Lopur,LOP4,Establish protected areas,8
Lopur,LOP5,Establish protected areas,10
Lopur,LOP6,Establish protected areas,9
Lopur,LOP7,Establish protected areas,5
Lopur,LOP8,Establish protected areas,8
Lopur,LOP9,Establish protected areas,4
Lopur,LOP10,Establish protected areas,5
Lopur,LOP11,Establish protected areas,9
Lopur,LOP12,Establish protected areas,9
Lopur,LOP13,Establish protected areas,8
Lopur,LOP14,Establish protected areas,8
Lopur,LOP1,Prohibit charcoal burning,9
Lopur,LOP2,Prohibit charcoal burning,8
Lopur,LOP3,Prohibit charcoal burning,9
Lopur,LOP4,Prohibit charcoal burning,10
Lopur,LOP5,Prohibit charcoal burning,12
Lopur,LOP6,Prohibit charcoal burning,7
Lopur,LOP7,Prohibit charcoal burning,8
Lopur,LOP8,Prohibit charcoal burning,8
Lopur,LOP9,Prohibit charcoal burning,10
Lopur,LOP10,Prohibit charcoal burning,10
Lopur,LOP11,Prohibit charcoal burning,12
Lopur,LOP12,Prohibit charcoal burning,9
Lopur,LOP13,Prohibit charcoal burning,7
Lopur,LOP14,Prohibit charcoal burning,12
Lopur,LOP1,Create public awareness on WEPs,7
Lopur,LOP2,Create public awareness on WEPs,8
Lopur,LOP3,Create public awareness on WEPs,9
Lopur,LOP4,Create public awareness on WEPs,8
Lopur,LOP5,Create public awareness on WEPs,10
Lopur,LOP6,Create public awareness on WEPs,10
Lopur,LOP7,Create public awareness on WEPs,8
Lopur,LOP8,Create public awareness on WEPs,8
Lopur,LOP9,Create public awareness on WEPs,9
Lopur,LOP10,Create public awareness on WEPs,9
Lopur,LOP11,Create public awareness on WEPs,8
Lopur,LOP12,Create public awareness on WEPs,12
Lopur,LOP13,Create public awareness on WEPs,9
Lopur,LOP14,Create public awareness on WEPs,9
Lopur,LOP1,Cultivate WEPs,9
Lopur,LOP2,Cultivate WEPs,9
Lopur,LOP3,Cultivate WEPs,8
Lopur,LOP4,Cultivate WEPs,11
Lopur,LOP5,Cultivate WEPs,9
Lopur,LOP6,Cultivate WEPs,10
Lopur,LOP7,Cultivate WEPs,7
Lopur,LOP8,Cultivate WEPs,10
Lopur,LOP9,Cultivate WEPs,10
Lopur,LOP10,Cultivate WEPs,7
Lopur,LOP11,Cultivate WEPs,12
Lopur,LOP12,Cultivate WEPs,7
Lopur,LOP13,Cultivate WEPs,11
Lopur,LOP14,Cultivate WEPs,11
Lopur,LOP1,Preserve local knowledge about the WEPs,12
Lopur,LOP2,Preserve local knowledge about the WEPs,9
Lopur,LOP3,Preserve local knowledge about the WEPs,10
Lopur,LOP4,Preserve local knowledge about the WEPs,8
Lopur,LOP5,Preserve local knowledge about the WEPs,7
Lopur,LOP6,Preserve local knowledge about the WEPs,12
Lopur,LOP7,Preserve local knowledge about the WEPs,10
Lopur,LOP8,Preserve local knowledge about the WEPs,8
Lopur,LOP9,Preserve local knowledge about the WEPs,7
Lopur,LOP10,Preserve local knowledge about the WEPs,10
Lopur,LOP11,Preserve local knowledge about the WEPs,9
Lopur,LOP12,Preserve local knowledge about the WEPs,10
Lopur,LOP13,Preserve local knowledge about the WEPs,7
Lopur,LOP14,Preserve local knowledge about the WEPs,11
Lopur,LOP1,Control harvesting for food and fodder,9
Lopur,LOP2,Control harvesting for food and fodder,9
Lopur,LOP3,Control harvesting for food and fodder,6
Lopur,LOP4,Control harvesting for food and fodder,10
Lopur,LOP5,Control harvesting for food and fodder,8
Lopur,LOP6,Control harvesting for food and fodder,12
Lopur,LOP7,Control harvesting for food and fodder,8
Lopur,LOP8,Control harvesting for food and fodder,10
Lopur,LOP9,Control harvesting for food and fodder,8
Lopur,LOP10,Control harvesting for food and fodder,9
Lopur,LOP11,Control harvesting for food and fodder,9
Lopur,LOP12,Control harvesting for food and fodder,5
Lopur,LOP13,Control harvesting for food and fodder,9
Lopur,LOP14,Control harvesting for food and fodder,7
Lopur,LOP1,Conserve in sacred areas,9
Lopur,LOP2,Conserve in sacred areas,4
Lopur,LOP3,Conserve in sacred areas,5
Lopur,LOP4,Conserve in sacred areas,6
