plot_id,site,threat,rank_threat
LOP_6,Lopur,Overstocking/overgrazing,7
LOP_7,Lopur,Overstocking/overgrazing,9
LOP_8,Lopur,Overstocking/overgrazing,8
LOP_9,Lopur,Overstocking/overgrazing,6
LOP_10,Lopur,Overstocking/overgrazing,7
LOP_11,Lopur,Overstocking/overgrazing,7
LOP_12,Lopur,Overstocking/overgrazing,6
LOP_13,Lopur,Overstocking/overgrazing,8
LOP_14,Lopur,Overstocking/overgrazing,8
LOP_15,Lopur,Overstocking/overgrazing,8
LOP_16,Lopur,Overstocking/overgrazing,6
LOP_17,Lopur,Overstocking/overgrazing,7
LOP_18,Lopur,Overstocking/overgrazing,8
LOP_19,Lopur,Overstocking/overgrazing,8
LOP_20,Lopur,Overstocking/overgrazing,9
LOP_21,Lopur,Overstocking/overgrazing,6
LOP_22,Lopur,Overstocking/overgrazing,10
LOP_23,Lopur,Overstocking/overgrazing,9
LOP_24,Lopur,Overstocking/overgrazing,9
LOP_25,Lopur,Overstocking/overgrazing,7
LOP_26,Lopur,Overstocking/overgrazing,8
LOP_27,Lopur,Overstocking/overgrazing,10
LOP_28,Lopur,Overstocking/overgrazing,9
LOP_29,Lopur,Overstocking/overgrazing,7
LOP_30,Lopur,Overstocking/overgrazing,8
LOP_31,Lopur,Overstocking/overgrazing,7
LOP_32,Lopur,Overstocking/overgrazing,9
LOP_33,Lopur,Overstocking/overgrazing,6
LOP_34,Lopur,Overstocking/overgrazing,10
LOP_35,Lopur,Overstocking/overgrazing,9
LOP_36,Lopur,Overstocking/overgrazing,10
LOP_37,Lopur,Overstocking/overgrazing,8
LOP_38,Lopur,Overstocking/overgrazing,9
LOP_39,Lopur,Overstocking/overgrazing,9
LOP_40,Lopur,Overstocking/overgrazing,6
LOP_41,Lopur,Overstocking/overgrazing,7
LOP_42,Lopur,Overstocking/overgrazing,9
LOP_43,Lopur,Overstocking/overgrazing,10
LOP_44,Lopur,Overstocking/overgrazing,8
LOP_45,Lopur,Overstocking/overgrazing,10
LOP_46,Lopur,Overstocking/overgrazing,8
LOP_47,Lopur,Overstocking/overgrazing,7
LOP_48,Lopur,Overstocking/overgrazing,7
LOP_49,Lopur,Overstocking/overgrazing,8
LOP_50,Lopur,Overstocking/overgrazing,10
LOP_51,Lopur,Overstocking/overgrazing,6
LOP_52,Lopur,Overstocking/overgrazing,8
LOP_53,Lopur,Overstocking/overgrazing,6
LOP_54,Lopur,Overstocking/overgrazing,6
LOP_55,Lopur,Overstocking/overgrazing,7
LOP_56,Lopur,Overstocking/overgrazing,10
LOP_57,Lopur,Overstocking/overgrazing,10
LOP_58,Lopur,Overstocking/overgrazing,8
LOP_59,Lopur,Overstocking/overgrazing,9
LOP_60,Lopur,Overstocking/overgrazing,7
LOP_61,Lopur,Overstocking/overgrazing,7
LOP_62,Lopur,Overstocking/overgrazing,6
LOP_63,Lopur,Overstocking/overgrazing,6
LOP_64,Lopur,Overstocking/overgrazing,8
LOP_65,Lopur,Overstocking/overgrazing,9
LOP_66,Lopur,Overstocking/overgrazing,6
LOP_67,Lopur,Overstocking/overgrazing,6
LOP_68,Lopur,Overstocking/overgrazing,7
LOP_69,Lopur,Overstocking/overgrazing,8
LOP_70,Lopur,Overstocking/overgrazing,6
LOP_71,Lopur,Overstocking/overgrazing,7
LOP_72,Lopur,Overstocking/overgrazing,6
LOP_73,Lopur,Overstocking/overgrazing,9
LOP_74,Lopur,Overstocking/overgrazing,8
LOP_75,Lopur,Overstocking/overgrazing,6
LOP_76,Lopur,Overstocking/overgrazing,6
LOP_77,Lopur,Overstocking/overgrazing,6
LOP_78,Lopur,Overstocking/overgrazing,6
LOP_79,Lopur,Overstocking/overgrazing,10
LOP_80,Lopur,Overstocking/overgrazing,10
"NAS_1",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_2",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_3",Nasiger,Fuelwood collection/charcoal burning,4
"NAS_4",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_5",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_6",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_7",Nasiger,Fuelwood collection/charcoal burning,4
"NAS_8",Nasiger,Fuelwood collection/charcoal burning,4
"NAS_9",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_10",Nasiger,Fuelwood collection/charcoal burning,5
"NAS_11",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_12",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_13",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_14",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_15",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_16",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_17",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_18",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_19",Nasiger,Fuelwood collection/charcoal burning,4
"NAS_20",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_21",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_22",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_23",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_24",Nasiger,Fuelwood collection/charcoal burning,4
"NAS_25",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_26",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_27",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_28",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_29",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_30",Nasiger,Fuelwood collection/charcoal burning,5
"NAS_31",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_32",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_33",Nasiger,Fuelwood collection/charcoal burning,5
"NAS_34",Nasiger,Fuelwood collection/charcoal burning,4
"NAS_35",Nasiger,Fuelwood collection/charcoal burning,5
"NAS_36",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_37",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_38",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_39",Nasiger,Fuelwood collection/charcoal burning,5
"NAS_40",Nasiger,Fuelwood collection/charcoal burning,5
"NAS_41",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_42",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_43",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_44",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_45",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_46",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_47",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_48",Nasiger,Fuelwood collection/charcoal burning,2
"NAS_49",Nasiger,Fuelwood collection/charcoal burning,1
"NAS_50",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_51",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_52",Nasiger,Fuelwood collection/charcoal burning,6
"NAS_53",Nasiger,Fuelwood collection/charcoal burning,3
"NAS_54",Nasiger,Fuelwood collection/charcoal burning,2
